Date,Close,log_return,z_score
2018-01-02,41486.87,0.018877682896679612,1.455187109430506
2018-01-03,41544.27,0.0013826140203281483,0.054077181582243256
2018-01-04,41908.71,0.00873407556553263,0.6428262644225963
2018-01-05,42523.99,0.014574706045130408,1.1105789442030842
2018-01-08,43112.12,0.013735776810075399,1.043392465069722
2018-01-09,42814.34,-0.0069310708739842315,-0.6117325116947369
2018-01-10,43630.74,0.018888854597368148,1.4560818061508383
2018-01-11,43395.28,-0.005411268366815722,-0.49001762184706915
2018-01-12,42933.72,-0.010693148258885963,-0.9130222071268199
2018-01-15,42347.49,-0.013748379835844806,-1.1577034555749979
2018-01-16,42939.68,0.0138871888269775,1.0555184464863385
2018-01-17,43358.97,0.00971726207279868,0.7215657301539368
2018-01-18,43580.88,0.005104919824871062,0.35218173058930824
2018-01-19,44178.83,0.013627193008431985,1.0346964237130776
2018-01-22,44897.69,0.01614063069326005,1.2359875714147477
2018-01-23,44907.2,0.00021179247668015098,-0.039689221976263185
2018-01-24,45063.21,0.003468032575693301,0.2210899931517196
2018-01-25,44816.71,-0.005485109867145222,-0.49593129157481297
2018-01-26,44551.13,-0.005943542594654372,-0.5326453308451505
2018-01-29,44457.3,-0.0021083404067898516,-0.2254993631041541
2018-01-30,44233.11,-0.005055574272408145,-0.4615315078183837
2018-01-31,44049.05,-0.004169817926824067,-0.390594833134582
2018-02-01,44255.48,0.004675419846270206,0.31778479918644226
2018-02-02,44301.2,0.0010325591262485467,0.026042688500036725
2018-02-06,43885.51,-0.00942756746088013,-0.8116669147805862
2018-02-07,44096.49,0.004795990189014468,0.3274407945653118
2018-02-08,43679.87,-0.00949283220672263,-0.8168937066260316
2018-02-09,43808.8,0.0029473552023025554,0.17939102973409912
2018-02-12,43515.08,-0.00672716575774742,-0.5954025683994218
2018-02-13,43690.36,0.004019938114921338,0.2652898951762332
2018-02-14,43353.04,-0.007750655159165441,-0.6773697313474151
2018-02-15,42942.35,-0.00951830916213569,-0.8189340538468897
2018-02-16,43627.1,0.015819998419913744,1.2103094180705607
2018-02-19,43572.67,-0.001248397950340622,-0.15663001931220724
2018-02-20,43294.95,-0.006394118918163238,-0.5687301822157557
2018-02-21,42919.78,-0.008703208097439966,-0.7536558773494767
2018-02-22,43528.51,0.014083333777309456,1.0712269092051614
2018-02-23,43267.2,-0.006021283528897746,-0.5388712906020637
2018-02-26,42911.02,-0.00826617277856214,-0.7186554707533208
2018-02-27,42994.96,0.001954230117950284,0.09985562320809185
2018-02-28,43239.44,0.005670142194130466,0.3974481241433085
2018-03-01,43510.39,0.00624671843327359,0.4436238036181594
2018-03-02,43740.49,0.00527445759736498,0.3657593311043653
2018-03-05,43829.07,0.0020230781155465044,0.10536938332108746
2018-03-06,43705.1,-0.0028324957644448832,-0.28349406252979986
2018-03-07,43441.18,-0.006056960936576863,-0.5417285511508731
2018-03-08,43072.74,-0.008517524751386419,-0.7387852425763047
2018-03-09,43011.26,-0.0014283725303857971,-0.171043461902449
2018-03-12,43410.93,0.009249310837915286,0.684089391788088
2018-03-13,43618.07,0.004760261318657827,0.3245794125769756
2018-03-14,43407.72,-0.004834208563897441,-0.4438032156880932
2018-03-15,43495.07,0.0020102928667107196,0.10434546399842376
2018-03-16,43363.21,-0.003036212582079429,-0.2998089257449564
